match_id,bookmaker,odds_1,odds_N,odds_2,odds_1X,odds_X2,odds_12,source,entered_at
21,Betclic,1.27,5.6,12.0,1.035225618631732,3.818181818181818,1.148455162019593,OddsPortal,2026-07-07T19:17:51+00:00
22,Betclic,1.64,3.85,5.4,1.1500910746812387,2.247567567567568,1.257954545454545,OddsPortal,2026-07-07T19:18:56+00:00
23,Betclic,2.3,3.2,3.3,1.338181818181818,1.6246153846153848,1.3553571428571427,OddsPortal,2026-07-07T19:19:58+00:00
26,Betclic,1.84,3.5,4.6,1.205992509363296,1.9876543209876545,1.3142857142857145,OddsPortal,2026-07-07T19:21:46+00:00
28,Betclic,1.53,4.2,6.4,1.1214659685863877,2.535849056603773,1.2348045397225724,OddsPortal,2026-07-07T19:22:36+00:00
27,Betclic,1.25,6.0,12.0,1.0344827586206895,4.0,1.1320754716981132,OddsPortal,2026-07-07T19:23:13+00:00
25,Betclic,2.0,3.15,4.15,1.2233009708737863,1.7907534246575345,1.3495934959349594,OddsPortal,2026-07-07T19:23:55+00:00
31,Betclic,1.57,4.3,5.75,1.150085178875639,2.460199004975125,1.2332650273224044,OddsPortal,2026-07-07T19:24:42+00:00
30,Betclic,5.75,3.75,1.65,2.269736842105264,1.1458333333333333,1.2820945945945943,OddsPortal,2026-07-07T19:25:48+00:00
29,Betclic,1.1,11.5,20.0,1.003968253968254,7.301587301587302,1.0426540284360188,OddsPortal,2026-07-07T19:26:28+00:00
32,Betclic,2.05,3.4,3.75,1.2788990825688074,1.7832167832167831,1.3254310344827585,OddsPortal,2026-07-07T19:27:18+00:00
35,Betclic,1.65,4.2,5.0,1.1846153846153846,2.282608695652174,1.2406015037593985,OddsPortal,2026-07-07T19:27:58+00:00
33,Betclic,1.45,4.9,7.25,1.1188976377952755,2.923868312757202,1.2083333333333333,OddsPortal,2026-07-07T19:28:57+00:00
34,Betclic,1.15,9.0,15.5,1.0197044334975367,5.6938775510204085,1.0705705705705706,OddsPortal,2026-07-07T19:29:36+00:00
36,Betclic,7.5,4.4,1.46,2.773109243697479,1.096245733788396,1.2220982142857144,OddsPortal,2026-07-07T19:30:25+00:00
39,Betclic,1.09,11.0,22.0,0.9917287014061208,7.333333333333334,1.0385448245993938,OddsPortal,2026-07-07T19:31:04+00:00
37,Betclic,1.38,4.75,8.5,1.0693311582381728,3.0471698113207544,1.187246963562753,OddsPortal,2026-07-07T19:31:49+00:00
40,Betclic,1.37,4.65,10.0,1.0582225913621262,3.1740614334470987,1.204925241864556,OddsPortal,2026-07-07T19:32:27+00:00
38,Betclic,5.75,3.9,1.62,2.3238341968911915,1.1445652173913043,1.2639077340569878,OddsPortal,2026-07-07T19:33:21+00:00
43,Betclic,1.43,4.5,8.5,1.0851602023608768,2.942307692307692,1.2240684793554883,OddsPortal,2026-07-07T19:34:02+00:00
41,Betclic,1.07,13.5,33.0,0.991420727522306,9.580645161290322,1.0363956560023482,OddsPortal,2026-07-07T19:34:50+00:00
42,Betclic,2.4,3.45,2.9,1.4153846153846152,1.5755905511811024,1.3132075471698113,OddsPortal,2026-07-07T20:05:17+00:00
44,Betclic,6.75,4.4,1.5,2.6636771300448427,1.1186440677966103,1.2272727272727273,OddsPortal,2026-07-07T20:06:14+00:00
45,Betclic,1.13,9.25,21.0,1.0069845857418112,6.421487603305785,1.0723000451875282,OddsPortal,2026-07-07T20:06:56+00:00
47,Betclic,1.16,7.5,17.5,1.0046189376443415,5.25,1.087888531618435,OddsPortal,2026-07-07T20:07:41+00:00
48,Betclic,8.0,4.65,1.4,2.940711462450593,1.0760330578512398,1.1914893617021276,OddsPortal,2026-07-07T20:08:21+00:00
46,Betclic,1.5,4.0,7.5,1.090909090909091,2.608695652173913,1.25,OddsPortal,2026-07-07T20:08:57+00:00
51,Betclic,2.43,2.9,3.3,1.3221388367729832,1.5435483870967743,1.399476439790576,OddsPortal,2026-07-07T20:09:35+00:00
52,Betclic,1.36,5.25,7.75,1.0801815431164905,3.1298076923076925,1.1569703622392975,OddsPortal,2026-07-07T20:10:21+00:00
54,Betclic,1.25,6.0,11.0,1.0344827586206895,3.882352941176471,1.1224489795918366,OddsPortal,2026-07-07T20:11:24+00:00
24,Betclic,10.5,5.0,1.33,3.3870967741935485,1.0505529225908374,1.1804733727810652,OddsPortal,2026-07-07T20:32:06+00:00
50,betclic,5.5,3.75,1.65,2.22972972972973,1.1458333333333333,1.2692307692307694,OddsPortal,2026-07-17T19:26:33+00:00
49,betclic,4.5,4.1,1.7,2.1453488372093026,1.2017241379310344,1.2338709677419355,OddsPortal,2026-07-17T19:28:24+00:00
55,betclic,3.3,4.0,2.05,1.808219178082192,1.3553719008264462,1.264485981308411,OddsPortal,2026-07-17T19:30:31+00:00
53,betclic,10.5,5.5,1.29,3.609375,1.044918998527246,1.1488549618320612,OddsPortal,2026-07-17T19:32:10+00:00
56,betclic,2.55,2.4,4.3,1.2363636363636363,1.5402985074626865,1.6007299270072992,OddsPortal,2026-07-17T19:33:53+00:00
65,,8.25,6.25,1.33,3.55603448275862,1.0966358839050132,1.1453549060542798,OddsPortal,2026-07-17T19:35:51+00:00
66,betclic,1.2,7.25,12.0,1.029585798816568,4.51948051948052,1.0909090909090908,OddsPortal,2026-07-17T19:37:59+00:00
60,betclic,2.2,3.5,3.15,1.3508771929824563,1.6578947368421053,1.2953271028037383,OddsPortal,2026-07-17T19:40:03+00:00
59,,18.0,9.5,1.12,6.218181818181819,1.0018832391713748,1.0543933054393306,OddsPortal,2026-07-17T19:42:35+00:00
58,betclic,15.0,8.0,1.16,5.217391304347826,1.0131004366812226,1.0767326732673266,OddsPortal,2026-07-17T19:44:29+00:00
57,,4.5,4.5,3.5,2.25,1.96875,1.96875,OddsPortal,2026-07-17T19:46:37+00:00
68,betclic,3.4,2.1,3.55,1.2981818181818183,1.3194690265486726,1.7366906474820143,OddsPortal,2026-07-18T19:01:58+00:00
67,betclic,18.0,9.0,1.13,6.0,1.0039486673247775,1.0632514375326712,OddsPortal,2026-07-18T19:04:09+00:00
63,betclic,6.0,3.65,1.63,2.269430051813472,1.1267992424242423,1.2817824377457403,OddsPortal,2026-07-18T19:05:49+00:00
62,betclic,2.53,2.68,3.43,1.3014203454894433,1.5044844517184943,1.456023489932886,OddsPortal,2026-07-18T19:07:29+00:00
61,betclic,13.5,8.0,1.16,5.023255813953488,1.0131004366812226,1.068212824010914,OddsPortal,2026-07-18T19:09:12+00:00
64,betclic,2.63,3.28,2.67,1.4596277495769885,1.4718655462184873,1.324924528301887,OddsPortal,2026-07-18T19:11:02+00:00
72,betclic,1.76,3.3,5.6,1.1478260869565216,2.0764044943820226,1.3391304347826083,OddsPortal,2026-07-18T19:12:44+00:00
71,betclic,16.0,9.0,1.14,5.76,1.011834319526627,1.0641773628938156,OddsPortal,2026-07-18T19:14:31+00:00
69,betclic,3.85,4.0,1.82,1.9617834394904456,1.2508591065292096,1.2358024691358025,OddsPortal,2026-07-18T19:16:10+00:00
70,betclic,1.64,3.9,5.25,1.1545126353790611,2.2377049180327866,1.2496371552975327,OddsPortal,2026-07-18T19:18:01+00:00
74,betclic,1.76,3.6,5.0,1.182089552238806,2.093023255813953,1.3017751479289938,OddsPortal,2026-07-18T19:19:41+00:00
73,betclic,5.0,3.4,1.8,2.023809523809524,1.1769230769230767,1.3235294117647058,OddsPortal,2026-07-18T19:21:24+00:00
75,betclic,1.32,5.25,11.0,1.0547945205479452,3.5538461538461537,1.1785714285714286,OddsPortal,2026-07-18T22:22:06+00:00
77,betclic,3.6,3.4,2.12,1.7485714285714289,1.3057971014492755,1.3342657342657342,OddsPortal,2026-07-18T22:24:07+00:00
76,betclic,2.35,3.1,3.3,1.336697247706422,1.5984375,1.3725663716814158,OddsPortal,2026-07-18T22:25:49+00:00
80,betclic,1.26,5.25,15.5,1.0161290322580645,3.921686746987952,1.16527446300716,OddsPortal,2026-07-18T22:27:36+00:00
79,betclic,2.2,2.8,4.1,1.232,1.6637681159420288,1.4317460317460318,OddsPortal,2026-07-18T22:29:22+00:00
78,betclic,1.28,6.0,11.5,1.054945054945055,3.942857142857143,1.1517996870109546,OddsPortal,2026-07-18T22:31:08+00:00
81,betclic,1.96,3.5,3.7,1.2564102564102564,1.7986111111111112,1.2812720848056536,OddsPortal,2026-07-18T22:32:52+00:00
82,betclic,1.33,5.1,9.25,1.0548989113530327,3.287456445993031,1.1628071833648397,OddsPortal,2026-07-18T22:35:00+00:00
83,betclic,1.3,5.1,11.0,1.0359375000000002,3.484472049689441,1.1626016260162602,OddsPortal,2026-07-18T22:36:50+00:00
84,betclic,1.65,3.65,5.75,1.1363207547169811,2.232712765957447,1.2820945945945943,OddsPortal,2026-07-18T22:38:36+00:00
85,betclic,1.91,3.25,4.5,1.2030038759689925,1.8870967741935485,1.3408736349453978,OddsPortal,2026-07-18T22:40:38+00:00
86,betclic,3.75,2.85,2.3,1.619318181818182,1.2728155339805824,1.4256198347107436,OddsPortal,2026-07-18T22:42:19+00:00
88,betclic,1.4,4.4,9.25,1.0620689655172413,2.9816849816849813,1.215962441314554,OddsPortal,2026-07-18T22:44:38+00:00
87,betclic,1.1,8.75,22.0,0.9771573604060916,6.260162601626017,1.0476190476190477,OddsPortal,2026-07-18T22:46:19+00:00
90,betclic,5.4,3.3,1.78,2.0482758620689654,1.1562992125984253,1.3387186629526462,OddsPortal,2026-07-18T22:48:01+00:00
89,betclic,18.0,7.0,1.18,5.04,1.0097799511002443,1.1074035453597495,OddsPortal,2026-07-18T22:49:46+00:00
91,betclic,1.73,3.8,4.9,1.18878842676311,2.1402298850574715,1.2785822021116138,OddsPortal,2026-07-18T22:51:33+00:00
92,betclic,3.15,3.1,2.55,1.5624000000000002,1.399115044247787,1.4092105263157897,OddsPortal,2026-07-18T22:53:17+00:00
93,betclic,3.9,3.6,1.97,1.872,1.273249551166966,1.3088586030664395,OddsPortal,2026-07-18T22:55:01+00:00
94,betclic,2.5,3.3,2.9,1.4224137931034482,1.5435483870967743,1.3425925925925926,OddsPortal,2026-07-18T22:56:59+00:00
95,betclic,1.31,4.75,12.0,1.026815181518152,3.402985074626866,1.1810668670172804,OddsPortal,2026-07-18T22:58:43+00:00
96,betclic,3.7,2.9,2.25,1.625757575757576,1.266990291262136,1.3991596638655464,OddsPortal,2026-07-18T23:00:29+00:00
97,betclic,1.6,3.95,6.75,1.1387387387387389,2.4918224299065423,1.2934131736526946,OddsPortal,2026-07-18T23:02:09+00:00
98,betclic,1.6,4.0,5.75,1.1428571428571428,2.358974358974359,1.251700680272109,OddsPortal,2026-07-18T23:03:53+00:00
99,betclic,4.25,3.9,1.79,2.033742331288344,1.2268892794376098,1.259519867549669,OddsPortal,2026-07-19T20:33:08+00:00
100,betclic,1.68,3.4,6.25,1.1244094488188976,2.202072538860104,1.3240857503152583,OddsPortal,2026-07-19T20:35:18+00:00
101,betclic,2.5,3.05,3.2,1.3738738738738738,1.5616,1.4035087719298245,OddsPortal,2026-07-19T20:49:24+00:00
102,betclic,2.7,2.95,3.05,1.4097345132743364,1.4995833333333333,1.4321739130434783,OddsPortal,2026-07-19T20:51:36+00:00
103,betclic,1.73,4.2,4.25,1.2252951096121416,2.1124260355029585,1.229515050167224,OddsPortal,2026-07-19T20:53:59+00:00
104,betclic,2.35,3.1,3.6,1.336697247706422,1.6656716417910447,1.4218487394957982,OddsPortal,2026-07-20T09:34:04+00:00
